LSID,Species Name,Taxon Concept,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Number of records,Invasive
Acer pseudoplatanus|NBNSYS0000003191|Sycamore|Plantae|Sapindaceae,Acer pseudoplatanus,L.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer pseudoplatanus,6,Global Register of Introduced and Invasive Species - Great Britain
Cygnus olor|NBNSYS0000000010|Mute Swan|Animalia|Anatidae,Cygnus olor,"(Gmelin, JF, 1789)",SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus olor,1,
Neovison vison|NHMSYS0020774297|American Mink|Animalia|Mustelidae,Neovison vison,"(Schreber, 1777)",SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Neovison,Neovison vison,1,The Wildlife (Northern Ireland) Order 1985 – Schedule 9|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022
Rhododendron ponticum|NBNSYS0000003888|Rhododendron|Plantae|Ericaceae,Rhododendron ponticum,L.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Rhododendron,Rhododendron ponticum,8,Isle of Man Wildlife Act Schedule 8|UK Biodiversity Indicators 2023. Indicator B6: Pressure from invasive species|Non-native species of interest to Northern Ireland|INNS of Interest to Wales June 2022
Rubus spectabilis|NBNSYS0000003324|Salmonberry|Plantae|Rosaceae,Rubus spectabilis,Pursh,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus spectabilis,2,The Wildlife (Northern Ireland) Order 1985 – Schedule 9|Non-native species of interest to Northern Ireland
