"Taxa","Site","Species"
"Mammals","North","Cervus_elaphus"
"Mammals","North","Ovis_sp"
"Mammals","North","Meles meles"
"Mammals","North","Sciurus_vulgaris"
"Mammals","South","Cervus_elaphus"
"Mammals","South","Ovis_sp"
